conv_id,turn_id,text
3HO4MYYR12UM6915N2AQYCJ4VCFU6K_3JU8CV4BRLIZ3AZD6CXQ56IW8VHPO8,5,"Question 1: what is the most popular music in the usa
Answer 1: Blues, rock, R&B, gospel, heavy metal, disco, and hip hop, to name a few.
Topic: American popular music (Introduction)

Question 2: What is the latter mentioned type?
Answer 2: It is a culture and art movement that was created by African Americans, Latino Americans and Caribbean Americans in the Bronx, New York City.
Topic: Hip hop (Introduction)

Question 3: What happened to it during the 80s?
Answer 3: During the 1980s, hip hop also embraced the creation of rhythm by using the human body, via the vocal percussion technique of beatboxing.
Topic: Hip hop (1980s.)

"
31S7M7DAGGWPPHPNA1QIIZFZ36MLT8_3YGYP13641F2X2FGIP12VCI6KGPNRZ,11,"Question 1: where was the first paved road in america
Answer 1: Woodward Avenue 
Topic: M-1 (Michigan highway) (Introduction)

Question 2: From where does the M-1 start?
Answer 2: It is a north–south state trunkline highway in the Metro Detroit area of the US state of Michigan. The highway, called ""Detroit's Main Street"", runs from Detroit north-northwesterly to Pontiac.
Topic: M-1 (Michigan highway) (Introduction)

Question 3: When was this highway formed?
Answer 3: 1970
Topic: M-1 (Michigan highway) (Introduction)

Question 4: How is this associated with religion?
Answer 4: The area around Woodward was once nicknamed ""Piety Hill"". There are 22 churches on the NRHP along the street in Detroit and Highland Park.
Topic: M-1 (Michigan highway) (Religion, entertainment, and cars.)

Question 5: What can you tell me about the metropolitan areas of the aforesaid state?
Answer 5: It  is the largest and most-populous city in the U.S. state of Michigan, the largest U.S. city on the United States–Canada border, and the seat of Wayne County.
Topic: Detroit (Introduction)

Question 6: What is the estimated demographics of the state?
Answer 6: The municipality of Detroit had a 2019 estimated population of 670,031, making it the 24th-most populous city in the United States.
Topic: Detroit (Introduction)

"
35YHTYFL2LG5QQZEOYUC82LLJ8LFVP_3QHITW7OZTMIPRMPRJEAOEBM50SQAS,23,"Question 1: What is the Emesa helmet?
Answer 1: A Roman cavalry helmet
Topic: Emesa helmet (Introduction)

Question 2: Can you please describe it?
Answer 2: It consists of an iron head piece and face mask, the latter of which is covered in a sheet of silver and presents the individualised portrait of a face, likely its owner.
Topic: Emesa helmet (Introduction)

Question 3: When was it discovered?
Answer 3: August 1936
Topic: Emesa helmet (Discovery.)

Question 4: What is its function?
Answer 4: The Emesa helmet is highly functional, and was likely made for both parades and battle.
Topic: Emesa helmet (Function.)

Question 5: Where was it discovered?
Answer 5: The modern-day city of Homs
Topic: Emesa helmet (Discovery.)

Question 6: Is it on display anywhere?
Answer 6: Yes, the National Museum of Damascus.
Topic: Emesa helmet (Introduction)

Question 7: Has it been restored?
Answer 7: Yes,  the Emesa helmet underwent several unsuccessful restorations, eventually it was taken to the British Museum, where a final restoration was finished
Topic: Emesa helmet (Restoration.)

Question 8: What was the helmet made out of?
Answer 8: Iron
Topic: Emesa helmet (Description.)

Question 9: What other equipment did the cavalry you mentioned before use?
Answer 9: A Corinthian helmet, mail armour, saddle
Topic: Roman cavalry (Equipment.)

Question 10: How was the recruitment done?
Answer 10: Large numbers of young men from the First Class of commoners were regularly volunteering for the service, which was considered more glamorous than the infantry.
Topic: Roman cavalry (Recruitment.)

Question 11: What was the unit size?
Answer 11: Each Polybian legion contained a cavalry contingent of 300 horse, and the cavalry contingent was divided into 10 ""turmae"" of 30 men each
Topic: Roman cavalry (Unit size and structure.)

Question 12: What was the unit structure?
Answer 12: The cavalry contingent was divided into 10 ""turmae"" of 30 men each and he squadron members would elect as their officers three ""decuriones"" , of whom the first to be chosen would act as the squadron's leader and the other two as his deputies.
Topic: Roman cavalry (Unit size and structure.)

"
31MBOZ6PBT4VR93AJS25DN2GV8BCLY_36AZSFEY09DFD9NYJW8GPCU04LDBV9,3,"Question 1: who dies in the best exotic marigold hotel
Answer 1: Graham
Topic: The Best Exotic Marigold Hotel (Plot.)

Question 2: Who directed it?
Answer 2: John Madden.
Topic: The Best Exotic Marigold Hotel (Introduction)

"
3W5PY7V3UPDFBD0HHM14A1UMEABYJ2_3T6EIBTM9LU3E2ZA7AABEG9WLWFAAP,13,"Question 1: was the movie avatar based on a book
Answer 1: UNANSWERABLE
Topic: 

Question 2: Who directed this movie?
Answer 2: James Cameron
Topic: Avatar (2009 film) (Introduction)

Question 3: What type of film is it?
Answer 3:  epic science fiction film
Topic: Avatar (2009 film) (Introduction)

Question 4: Do some of the characters featured in this movie have blue skin?
Answer 4: UNANSWERABLE
Topic: 

Question 5: What is the storyline of this?
Answer 5: To explore Pandora's biosphere, scientists use Na'vi-human hybrids called ""avatars"", operated by genetically matched humans. Jake Sully, a paraplegic former Marine, replaces his deceased identical twin brother as an operator of one. Dr. Grace Augustine, head of the Avatar Program, considers Sully an inadequate replacement but accepts his assignment as a bodyguard. While escorting the avatars of Grace and fellow scientist Dr. Norm Spellman, Jake's avatar is attacked by a thanator and flees into the forest, where he is rescued by Neytiri, a female Na'vi. Witnessing an auspicious sign, she takes him to her clan. Neytiri's mother Mo'at, the clan's spiritual leader, orders her daughter to initiate Jake into their society
Topic: Avatar (2009 film) (Plot.)

Question 6: What are the names of the actors featured in this?
Answer 6: Sam Worthington, Zoe Saldana, Stephen Lang, Michelle Rodriguez, and Sigourney Weaver
Topic: Avatar (2009 film) (Introduction)

Question 7: What are some of the places where the scenes were filmed at?
Answer 7: Principal photography for ""Avatar"" began in in Los Angeles and Wellington. Cameron described the film as a hybrid with a full live-action shoot in combination with computer-generated characters and live environments.
Topic: Avatar (2009 film) (Filming.)

"
3FO95NVK5C6ZDF7LQLIOU6SC74WSRT_3MIVREZQVH41DVFD8XKMYURXUOHKQ3,13,"Question 1: who negotiated the purchase of the area south of gila river
Answer 1: UNANSWERABLE
Topic: 

Question 2: What is this purchase all about?
Answer 2: It is a region of present-day southern Arizona and southwestern New Mexico that the United States acquired from Mexico by the Treaty of Mesilla.
Topic: Gadsden Purchase (Introduction)

Question 3: How is it associated with the Mesilla valley?
Answer 3: While determining the boundaries of the U.S. and Mexico, there was a disputed territory involved a few thousand square miles and about 3,000 residents; more significantly, which included the Mesilla Valley.
Topic: Gadsden Purchase (Mesilla Valley.)

Question 4: What can you tell me about the education of the first country mentioned above?
Answer 4: American public education is operated by state and local governments and regulated by the United States Department of Education through restrictions on federal grants.
Topic: United States (Education.)

Question 5: Were they associated with any war?
Answer 5: Yes, American Civil War, World War I, World War II and Cold War.
Topic: United States (Civil War and Reconstruction era.)

Question 6: What was the cause of the first war mentioned above?
Answer 6: It was a civil war fought between northern states loyal to the Union and southern states that had seceded to form the Confederate States of America.
Topic: American Civil War (Introduction)

Question 7: When did this war take place?
Answer 7: 1861 to 1865
Topic: American Civil War (Introduction)

"
3M0556243SQ5UCA7RU18EN4NG2TFNU_3HEM8MA6H9I2OMCTLPPUUBDWNJ3QPV,3,"Question 1: where does most of the world's lithium come from
Answer 1: South America
Topic: Lithium (Production.)

Question 2: What are the uses of it?
Answer 2: It has several industrial applications, including heat-resistant glass and ceramics, lithium grease lubricants, flux additives for iron, steel and aluminium production, lithium batteries, and lithium-ion batteries.
Topic: Lithium (Introduction)

"
3FHTJGYT8N6BBXIFITKI0X9UIGDPGN_3RBI0I35XE94QZYSE19HUUDXIGC3YO,9,"Question 1: who plays cancer patient in orange is the new black
Answer 1: Miss Rosa
Topic: Miss Rosa (Introduction)

Question 2: What is this show ?
Answer 2: Orange Is the New Black is an American comedy-drama television series
Topic: Orange Is the New Black (Introduction)

Question 3: Who produced it ?
Answer 3: Tilted Productions
Topic: Orange Is the New Black (Introduction)

Question 4: Who wrote it ?
Answer 4: The series is based on author Piper Kerman's memoir
Topic: Orange Is the New Black (Introduction)

Question 5: When did it release ?
Answer 5: July 11, 2013.
Topic: Orange Is the New Black (Introduction)

"
3RIHDBQ1NE4JQQGDAJA84TR0RO6HMY_30OITAWPBQ94J6XJLA63Z7LGRPZ9HR,7,"Question 1: who plays bad guy in guardians of the galaxy
Answer 1: Thanos
Topic: Guardians of the Galaxy (film) (Cast.)

Question 2: When was this movie released?
Answer 2: July 21, 2014 at the Dolby Theatre and August 1 in  United States
Topic: Guardians of the Galaxy (film) (Introduction)

Question 3: By whom is it diercted?
Answer 3: James Gunn
Topic: Guardians of the Galaxy (film) (Introduction)

Question 4: And produced by?
Answer 4:  Kevin Feige
Topic: Guardians of the Galaxy (film) (Introduction)

"
3B286OTISENEFV2E1GNO7FCFA50AJ3_38F60IALAGNCSL01L84ZKFNBZLFT00,11,"Question 1: where is indiana jones the last crusade filmed
Answer 1: Tabernas Desert in Spain's Almería province.
Topic: Indiana Jones and the Last Crusade (Filming.)

Question 2: When was this motion picture released?
Answer 2:  May 24, 1989
Topic: Indiana Jones and the Last Crusade (Introduction)

Question 3: What type of film was this?
Answer 3: American action-adventure 
Topic: Indiana Jones and the Last Crusade (Introduction)

Question 4: Who directed it?
Answer 4: Steven Spielberg
Topic: Indiana Jones and the Last Crusade (Introduction)

Question 5: In a short sentence, what is the storyline of this motion picture?
Answer 5: Indiana searches for his father, a Holy Grail scholar, who has been kidnapped by Nazis.
Topic: Indiana Jones and the Last Crusade (Introduction)

Question 6: Which actor plays the role of the title character?
Answer 6: Harrison Ford 
Topic: Indiana Jones and the Last Crusade (Introduction)

"
3126F2F5F89DRJMOCYUU0UOI4LGPET_391FPZIE4CS23YLMJL1UV38U4I0UHA,17,"Question 1: when does callie appear in grey's anatomy
Answer 1: In season 2
Topic: Callie Torres (Introduction)

Question 2: What is the role of this character ?
Answer 2: She plays the role of a senior orthopedic resident
Topic: Callie Torres (Introduction)

Question 3: By whom is this role played?
Answer 3: Sara Ramirez
Topic: Callie Torres (Introduction)

Question 4: Is she a philanthropist as well?
Answer 4: Yes, she is an activist and extensively campaigns for LGBT rights. They are a member of the True Colors United board of directors and The Task Force, and the San Diego, New York, and San Francisco LGBT Centers. They spoke in support of homeless LGBTQ youth at a True Colors Fund conference
Topic: Sara Ramirez (Philanthropy.)

Question 5: Is she involved in any other career as well?
Answer 5: She is an actor, singer, and songwriter, and activist
Topic: Sara Ramirez (Introduction)

Question 6: Can you mention a few of her projects?
Answer 6: She acted in the Capeman and You've Got Mail,
Topic: Sara Ramirez (Broadway breakthrough and other roles (1998–2005).)

Question 7: What is the first one?
Answer 7: It is a Broadway musical based on the life of the Puerto Rican gangster Salvador Agron
Topic: Sara Ramirez (Broadway breakthrough and other roles (1998–2005).)

Question 8: Was it recorded?
Answer 8: In 1997 (before the show's premiere), Simon released a studio album called ""Songs from The Capeman"", featuring 13 songs from the show performed by Simon with appearances from some of the original cast.
Topic: The Capeman (Recordings.)

Question 9: By whom was it produced?
Answer 9: Paul Simon
Topic: The Capeman (Production.)

"
3JVP4ZJHEU597G0OM9C8Q68N5DCI0L_3XBYQ44Z7UHSOKHK9S4XB8J0HZ7WTI,5,"Question 1: the irregular at magic high school student council
Answer 1: The student council is a group of students which provides a liaison between the teachers and students
Topic: The Irregular at Magic High School (Student Council and Disciplinary Committee.)

Question 2: What is the The Magic High School?
Answer 2: A manga
Topic: The Irregular at Magic High School (Introduction)

Question 3: Who was the irregular?
Answer 3: Tatsuya Shiba
Topic: The Irregular at Magic High School (Plot.)

"
3HXK2V1N4KLFJQH9GV964K117BY2G0_3N3WJQXELSWV5IVARM6MHC693SK2L6,11,"Question 1: what are the meanings of the led zeppelin symbols
Answer 1: Their fourth album did not have a title, and sometimes referred to as ""Four Symbols"".
Topic: Led Zeppelin IV (Title.)

Question 2: What name did they give for their band?
Answer 2: Led Zeppelin
Topic: Led Zeppelin IV (Introduction)

Question 3: Who designed the cover of this untitled album?
Answer 3: The band members
Topic: Led Zeppelin IV (Cover.)

Question 4: Why was not this album titled?
Answer 4: Due to the confused and sometimes dismissive, critical reaction to ""Led Zeppelin III"" (the previous album).
Topic: Led Zeppelin IV (Title.)

Question 5: Has it been nominated for any award?
Answer 5: UNANSWERABLE
Topic: 

Question 6: Where was the recording done?
Answer 6: Island Records' Basing Street Studios, London
Topic: Led Zeppelin IV (Writing and recording.)

"
375VMB7D4JPGIRLK38TQLF5LIZXID2_39HYCOOPKOR2EABBONRID8C2Z8HDMD,19,"Question 1: how long is the staton island ferry ride
Answer 1:  Approximately 25 minutes
Topic: Staten Island Ferry (Introduction)

Question 2: Where is this located?
Answer 2: The ferry's single route runs through New York Harbor between the New York City boroughs of Manhattan and Staten Island
Topic: Staten Island Ferry (Introduction)

Question 3: When it started its service?
Answer 3: 1810
Topic: Staten Island Ferry (Early years.)

Question 4: Who all can ride it?
Answer 4: Passengers from  New York Harbor between the New York City boroughs of Manhattan and Staten Island
Topic: Staten Island Ferry (Introduction)

Question 5: And how much is its fare?
Answer 5: In 2012 fare was $4.86,  it rose to $5.87 in 2016, before dropping to $5.16 in 2017. In 2017, it  was $6.50, after accounting for the $2.75 per-passenger fare
Topic: Staten Island Ferry (Fares.)

Question 6: You have mentioned about an island above; what is its geographical location?
Answer 6: It is a borough of New York City, the island is topographically and geologically a part of New Jersey, the  Island is separated from Long Island by the Narrows and from mainland New Jersey 
Topic: Staten Island (Geography.)

Question 7: So before the aforementioned transport service started in this island, was it a railway junction?
Answer 7: No,  Staten Island Railway opened after the ferry service
Topic: Staten Island Ferry (Staten Island Railway era.)

Question 8: And what was its date of opening?
Answer 8: 1860
Topic: Staten Island Ferry (Staten Island Railway era.)

Question 9: How is the police related to it?
Answer 9: The MTA Police Department was created in 1998 with the merger of the Long Island Rail Road Police Department 
Topic: Staten Island Railway (Police.)

Question 10: What are the various branches of this railway line?
Answer 10:  North Shore Branch  is one of them 
Topic: Staten Island Railway (Possible light rail and branch restoration.)

"
3SR6AEG6XA668GLPOZ5WIM1SH06HYW_3S1L4CQSG2ILY2WGD33GCF78YUQFAM,7,"Question 1: Who is Sonam K Ahuja?
Answer 1: Indian film actress.
Topic: Sonam K Ahuja (Introduction)

Question 2: Which film did she debut in?
Answer 2: Saawariya
Topic: Sonam K Ahuja (Introduction)

Question 3: When was it released?
Answer 3: 2007
Topic: Sonam K Ahuja (Debut and career fluctuations (2007–2012).)

Question 4: Under which production company?
Answer 4: Sony Pictures Entertainment.
Topic: Sonam K Ahuja (Debut and career fluctuations (2007–2012).)

"
3CRWSLD91KATI720EW5YO2O13JLMOA_3BDORL6HKKJJ6YIPTZSOF1OUKS1RC6,19,"Question 1: inside no 9 season 1 episode 4 cast
Answer 1: UNANSWERABLE
Topic: 

Question 2: When did this show first air?
Answer 2: 2014.
Topic: Inside No. 9 (Introduction)

Question 3: The show was written by whom? 
Answer 3:  Reece Shearsmith and Steve Pemberton.
Topic: Inside No. 9 (Introduction)

Question 4: What is the television show about?
Answer 4: It is an anthology series, with each episode featuring a new story, with a new setting and new characters. It address dark topics like incest, child sexual abuse and murder.
Topic: Inside No. 9 (Format.)

Question 5: What is its genre?
Answer 5: Black comedy anthology.
Topic: Inside No. 9 (Introduction)

Question 6: Who were the lead characters of this show?
Answer 6: Each episode has different characters . Only Reece cShearsmith and Steve Pemberton appears in almost all the episodes.
Topic: Inside No. 9 (Introduction)

Question 7: Mention a few critical responses on the series?
Answer 7: Bruce Dessau said on his website that it had ""really set an early benchmark to beat for comedy of the year. It has been consistently compelling as each week we entered an entirely different world.""
Topic: Inside No. 9 (Critical reception.)

Question 8: When did the first writer born?
Answer 8: 27 August 1969.
Topic: Reece Shearsmith (Introduction)

Question 9: Apart from writing, does he has any other profession?
Answer 9: He is an actor and comedian as well.
Topic: Reece Shearsmith (Introduction)

Question 10: Can you mention some of his work?
Answer 10: ""Psychoville"", ""The League of Gentleman"", ""Spaced"", ""The World's End"" and others.
Topic: Reece Shearsmith (Introduction)

"
